iter,Phi0,R,loss
0,1.4e+16,11.955897938204046,1.9326854600565698e+28
1,1.4e+16,11.949109062027116,2.1164928918042724e+28
2,1.4e+16,11.953832242501946,2.2046744482290907e+28
3,1.4e+16,11.95312812835131,2.029363307858463e+28
4,1.4e+16,11.945807107040514,2.221326972443044e+28
5,1.4e+16,11.952128242653968,2.1239528440816273e+28
6,1.4e+16,11.948010406142387,2.1166364162743606e+28
7,1.4e+16,11.946831223748223,2.154607516692947e+28
8,1.4e+16,11.951935865761056,1.963038595235735e+28
9,1.4e+16,11.952674641235935,2.1186857112839376e+28
10,1.4e+16,11.950724494357573,2.1754222542303343e+28
11,1.4e+16,11.953894169632568,2.1209211363501534e+28
12,1.4e+16,11.951659908590063,2.0972302142327956e+28
13,1.4e+16,11.9525107288361,2.043171503707789e+28
14,1.4e+16,11.952156949446255,2.070800611565835e+28
15,1.4e+16,11.95231538124033,2.1282727759261343e+28
16,1.4e+16,11.95135541865439,2.2556116743042913e+28
17,1.4e+16,11.95423895362635,2.0354915549523316e+28
18,1.4e+16,11.955388086640664,2.3270337472817517e+28
19,1.4e+16,11.94904590711195,2.0639770914063894e+28
20,1.4e+16,11.950525307206918,2.127584979499514e+28
21,1.4e+16,11.952604579332059,2.2260041965431727e+28
22,1.4e+16,11.951384271438082,2.351899708021745e+28
23,1.4e+16,11.947453401214501,2.1350138319201514e+28
24,1.4e+16,11.948952501247822,2.1836666527415486e+28
25,1.4e+16,11.954721562885455,2.079032920123956e+28
26,1.4e+16,11.949907968602764,2.107512156050943e+28
27,1.4e+16,11.95088890622658,2.2714008504153554e+28
28,1.4e+16,11.954089531893366,2.1056810152746217e+28
29,1.4e+16,11.95322102956856,2.1354624371158142e+28
30,1.4e+16,11.951864854201823,2.091175926679359e+28
31,1.4e+16,11.954174685121655,2.0479058011391455e+28
32,1.4e+16,11.951673367099188,2.259661793159675e+28
33,1.4e+16,11.95288731386137,2.2277420186312735e+28
34,1.4e+16,11.950612092467908,2.0268357638993573e+28
35,1.4e+16,11.956147225840823,2.0993593641980305e+28
36,1.4e+16,11.94777644501658,2.063261776881885e+28
37,1.4e+16,11.950489980733588,2.066854943486376e+28
38,1.4e+16,11.948816272129886,2.2651348209069424e+28
39,1.4e+16,11.950372043833514,2.1784647614530028e+28
40,1.4e+16,11.957125167538807,2.097439117545165e+28
41,1.4e+16,11.950444257271961,2.202605516946806e+28
42,1.4e+16,11.951850056234921,1.9165800471093207e+28
43,1.4e+16,11.951388692576169,1.990399021646858e+28
44,1.4e+16,11.954965927888884,2.138215601348008e+28
45,1.4e+16,11.952535634817611,2.062361033922935e+28
46,1.4e+16,11.953174161453166,2.1280526136800703e+28
47,1.4e+16,11.946980414942521,2.140651820115901e+28
48,1.4e+16,11.954794701237622,2.2954014196261e+28
49,1.4e+16,11.947477550835975,2.1976199331363347e+28
